#================================================================================
# RMSD Clustering Summary
#================================================================================

Total frames: 68263
Clustering method: rms-sort
Number of clusters: 73

Cluster Statistics:
------------------------------------------------------------
Cluster    Size     Mean RMSD    Std        Min        Max        Rep Line  
------------------------------------------------------------
0          359      1.772251     0.013025   1.748000   1.793900   31566     
1          310      1.717161     0.017876   1.681800   1.747400   29416     
2          458      1.876481     0.011233   1.856800   1.896400   23811     
3          648      1.827290     0.018061   1.794100   1.856400   11876     
4          261      1.642637     0.023854   1.596000   1.680700   14949     
5          183      1.547369     0.032204   1.481700   1.594000   26489     
6          5        0.484780     0.261221   0.000000   0.736900   143       
7          78       1.434169     0.031030   1.362700   1.478800   62383     
8          37       1.275738     0.064416   1.085400   1.354600   153       
9          739      2.187490     0.007921   2.173700   2.200700   21067     
10         1078     2.153498     0.011985   2.133100   2.173500   27281     
11         1233     2.222390     0.012275   2.201000   2.244100   58214     
12         1577     2.272657     0.016312   2.244200   2.301200   463       
13         990      2.046140     0.012586   2.024000   2.067100   47624     
14         1592     2.101980     0.018779   2.067400   2.132800   24181     
15         786      1.924136     0.014998   1.896700   1.949200   1989      
16         1439     1.988304     0.021589   1.949400   2.023800   12323     
17         1255     2.389069     0.015291   2.363500   2.415800   6011      
18         1636     2.331984     0.017977   2.301300   2.363400   2286      
19         1446     2.448246     0.018888   2.416100   2.481500   15569     
20         715      2.499875     0.010671   2.481600   2.518400   8084      
21         815      2.542822     0.014196   2.519000   2.568100   14618     
22         1110     2.608248     0.023433   2.568500   2.649600   2095      
23         477      2.761713     0.017593   2.734100   2.793300   14681     
24         834      2.689631     0.024427   2.649900   2.733800   1929      
25         352      2.815771     0.011757   2.794400   2.836600   41414     
26         475      2.869247     0.018354   2.837100   2.902500   4546      
27         652      3.063547     0.028202   3.013500   3.111800   42130     
28         320      2.988598     0.013995   2.963200   3.012800   18913     
29         396      2.932588     0.017860   2.903200   2.962500   42374     
30         1041     3.914527     0.009075   3.898700   3.929600   17531     
31         1302     3.878904     0.011346   3.858900   3.898500   4675      
32         1251     3.839632     0.011021   3.820400   3.858800   22082     
33         1560     3.794346     0.014842   3.768300   3.820200   7575      
34         674      3.645665     0.008303   3.631300   3.659900   20543     
35         1022     3.608844     0.013014   3.586500   3.631000   26146     
36         1113     3.682301     0.012923   3.660000   3.703700   5498      
37         1755     3.736501     0.018317   3.703800   3.768100   34452     
38         388      3.138881     0.014932   3.112200   3.163000   30280     
39         496      3.192106     0.016011   3.163600   3.219200   49397     
40         666      3.321540     0.015432   3.294800   3.347200   63058     
41         848      3.258511     0.021708   3.219400   3.294500   42264     
42         663      3.422899     0.012415   3.402400   3.445500   24070     
43         724      3.375571     0.015923   3.347500   3.402100   62999     
44         888      3.473104     0.015537   3.445700   3.499800   31236     
45         702      3.567384     0.010968   3.548800   3.586200   66365     
46         863      3.525094     0.013894   3.500200   3.548700   22393     
47         1225     4.243777     0.009302   4.228100   4.259500   6427      
48         1941     4.202936     0.014461   4.177900   4.228000   7633      
49         1493     4.333102     0.011519   4.313100   4.352700   17195     
50         2108     4.285975     0.015771   4.259600   4.313000   41360     
51         1533     3.951433     0.012825   3.929800   3.973300   7324      
52         1918     3.999952     0.014973   3.973400   4.025500   23153     
53         1050     4.039576     0.008105   4.025600   4.053400   25791     
54         1373     4.071511     0.010578   4.053500   4.089900   5641      
55         1553     4.110969     0.011556   4.090000   4.130500   17716     
56         1831     4.154602     0.013693   4.130700   4.177700   28635     
57         1356     4.614786     0.017338   4.585900   4.645900   24365     
58         1103     4.509363     0.010481   4.492100   4.527200   17753     
59         1546     4.556043     0.017023   4.527300   4.585800   17236     
60         1841     4.462913     0.016170   4.435300   4.491900   6199      
61         995      4.421037     0.008055   4.406800   4.435200   5736      
62         2002     4.379936     0.015553   4.352800   4.406600   12490     
63         429      4.956694     0.017980   4.926900   4.989500   40775     
64         419      5.035989     0.028195   4.990100   5.085500   9654      
65         71       5.416141     0.076624   5.322800   5.619800   6019      
66         217      5.129511     0.025320   5.087600   5.176400   41067     
67         167      5.228656     0.035360   5.180600   5.317200   13483     
68         1049     4.670988     0.014744   4.646100   4.697400   32399     
69         1022     4.728165     0.017970   4.697600   4.760300   5726      
70         672      4.884006     0.021827   4.849000   4.926200   51146     
71         475      4.829156     0.010841   4.811300   4.848300   33829     
72         662      4.784369     0.014423   4.760500   4.810900   35673     
