#================================================================================
# RMSD Clustering Summary
#================================================================================

Total frames: 51340
Clustering method: rms-sort
Number of clusters: 60

Cluster Statistics:
------------------------------------------------------------
Cluster    Size     Mean RMSD    Std        Min        Max        Rep Line  
------------------------------------------------------------
0          527      2.225572     0.030857   2.175500   2.277700   10577     
1          259      2.071136     0.017574   2.039900   2.101000   50327     
2          357      2.138696     0.021006   2.101900   2.174800   13851     
3          609      2.462397     0.030266   2.409600   2.513500   7915      
4          358      2.308913     0.017108   2.278000   2.339800   3561      
5          356      2.375777     0.020021   2.340600   2.409300   50897     
6          83       1.427347     0.041445   1.351700   1.493100   22286     
7          120      1.580318     0.042309   1.501300   1.641700   4694      
8          63       1.229584     0.086798   0.967100   1.340800   31        
9          5        0.616240     0.318904   0.000000   0.892300   22266     
10         170      1.813879     0.022265   1.776600   1.852500   37437     
11         218      1.712201     0.038193   1.644200   1.775000   49166     
12         330      2.000055     0.024464   1.958100   2.038700   12060     
13         332      1.908139     0.030245   1.853700   1.956900   6793      
14         1277     3.332117     0.015793   3.304300   3.358400   6221      
15         856      3.284987     0.011203   3.265700   3.304200   22673     
16         835      3.243769     0.013040   3.220200   3.265500   1967      
17         556      3.154838     0.011594   3.133800   3.175600   4754      
18         739      3.198162     0.012770   3.176000   3.220100   27837     
19         611      3.046392     0.015074   3.019700   3.071700   33193     
20         755      3.103445     0.017840   3.072100   3.133500   1697      
21         713      2.984896     0.020439   2.950700   3.019300   19337     
22         412      2.862727     0.013767   2.838200   2.886800   1689      
23         592      2.918120     0.018661   2.887300   2.950200   32626     
24         395      2.548867     0.020419   2.514100   2.584600   493       
25         461      2.624462     0.022178   2.585300   2.661900   353       
26         598      2.800915     0.020345   2.765700   2.837700   15432     
27         729      2.717295     0.029073   2.662600   2.765500   36841     
28         91       4.892829     0.058482   4.827400   5.090200   15279     
29         258      4.750451     0.036173   4.698200   4.821700   20507     
30         347      4.652102     0.023461   4.611300   4.696600   20544     
31         247      4.587673     0.013180   4.564300   4.610600   8875      
32         508      4.531179     0.017351   4.502400   4.563700   26317     
33         853      4.158539     0.007892   4.145500   4.172400   12042     
34         1202     4.191711     0.011492   4.172500   4.211800   16747     
35         1127     4.085167     0.008976   4.069900   4.101100   12958     
36         1591     4.122618     0.012753   4.101200   4.145400   1288      
37         782      4.464824     0.019458   4.434000   4.502200   13310     
38         566      4.414102     0.010724   4.396000   4.433800   7286      
39         791      4.371763     0.013570   4.348700   4.395700   8863      
40         1398     4.314595     0.019110   4.282200   4.348500   9416      
41         861      4.226526     0.008750   4.211900   4.241800   9590      
42         990      4.261759     0.011352   4.242100   4.282100   21823     
43         2001     3.802021     0.013274   3.778800   3.825500   20880     
44         1290     3.875327     0.008418   3.861000   3.890300   17326     
45         1460     3.843489     0.010089   3.825700   3.860800   40573     
46         1711     4.004230     0.012757   3.982400   4.026200   1242      
47         1741     4.047428     0.012750   4.026400   4.069800   3116      
48         1872     3.913888     0.013344   3.890500   3.936500   17279     
49         1897     3.959554     0.012947   3.936600   3.982300   14990     
50         1468     3.762290     0.009509   3.745600   3.778600   19115     
51         1660     3.726022     0.011214   3.706100   3.745500   7608      
52         1852     3.617383     0.014360   3.592000   3.642000   18050     
53         1076     3.692479     0.007633   3.679500   3.705900   10736     
54         1401     3.660602     0.010865   3.642100   3.679400   17726     
55         1546     3.520721     0.013928   3.496600   3.545100   16633     
56         1657     3.568859     0.013587   3.545200   3.591800   51172     
57         1621     3.469523     0.015600   3.442500   3.496500   24449     
58         876      3.377403     0.010373   3.358700   3.394400   4374      
59         1283     3.418255     0.013940   3.394600   3.442400   6629      
