#================================================================================
# RMSD Clustering Summary
#================================================================================

Total frames: 21253
Clustering method: rms-sort
Number of clusters: 49

Cluster Statistics:
------------------------------------------------------------
Cluster    Size     Mean RMSD    Std        Min        Max        Rep Line  
------------------------------------------------------------
0          90       5.614971     0.082388   5.492100   5.767700   20132     
1          30       5.902540     0.067653   5.791000   6.018800   14033     
2          17       6.147912     0.124467   6.040800   6.590800   12843     
3          74       5.394903     0.049148   5.325500   5.475700   2816      
4          157      5.205059     0.063368   5.106300   5.321000   10570     
5          139      5.019642     0.041241   4.955100   5.099200   1243      
6          138      4.802646     0.024404   4.758900   4.840800   17717     
7          143      4.893257     0.031323   4.842900   4.949400   14836     
8          142      4.098013     0.031718   4.040900   4.151600   3636      
9          126      3.980190     0.034099   3.920800   4.036600   4938      
10         98       3.692157     0.033107   3.627200   3.745500   2877      
11         143      3.834365     0.045937   3.749900   3.916400   4873      
12         148      4.367309     0.032299   4.308600   4.419400   12743     
13         189      4.235135     0.043255   4.153500   4.305500   3932      
14         220      4.689982     0.039799   4.619100   4.757100   10104     
15         97       4.464979     0.021276   4.422600   4.498900   5099      
16         191      4.557107     0.032796   4.502100   4.617500   17098     
17         1263     1.745499     0.022296   1.703900   1.780500   9538      
18         903      1.853676     0.011203   1.834500   1.873800   12167     
19         1253     1.807782     0.015263   1.780700   1.834300   17636     
20         58       1.379602     0.037337   1.310400   1.452200   20846     
21         3        0.759733     0.053541   0.706000   0.832800   14075     
22         46       1.211530     0.074218   1.000000   1.290900   6493      
23         202      1.563536     0.039532   1.461300   1.613200   5166      
24         641      1.666641     0.024220   1.614000   1.703300   3066      
25         1456     1.907829     0.019566   1.874100   1.942100   26        
26         573      1.957756     0.008840   1.942300   1.973700   15770     
27         774      1.999404     0.014801   1.973900   2.025100   11592     
28         610      2.047399     0.012596   2.025400   2.069700   900       
29         848      2.099412     0.016260   2.069900   2.126600   12586     
30         781      2.149244     0.012854   2.126800   2.171100   1773      
31         1206     2.202740     0.018139   2.171300   2.233200   12041     
32         251      3.099330     0.035253   3.038600   3.158500   14783     
33         136      3.011586     0.014827   2.986200   3.037000   21034     
34         238      2.932884     0.031602   2.876400   2.984100   4964      
35         157      3.505786     0.068652   3.384300   3.622300   10841     
36         120      3.197275     0.022304   3.161900   3.238400   18591     
37         124      3.305310     0.041517   3.242000   3.379800   4012      
38         218      2.827135     0.026470   2.786100   2.875300   7847      
39         479      2.728986     0.028057   2.687200   2.784300   4779      
40         916      2.537746     0.019290   2.504700   2.572700   10691     
41         468      2.655935     0.016642   2.628500   2.686500   11313     
42         656      2.598831     0.015483   2.573000   2.628000   7002      
43         692      2.479121     0.014299   2.455200   2.504400   3523      
44         967      2.425827     0.016687   2.397600   2.455000   3776      
45         537      2.295439     0.008477   2.280300   2.309600   9046      
46         937      2.257062     0.013309   2.233400   2.280100   4927      
47         538      2.381804     0.008925   2.366800   2.397400   6262      
48         1060     2.338692     0.016242   2.309900   2.366700   20088     
