#================================================================================
# RMSD Clustering Summary
#================================================================================

Total frames: 66080
Clustering method: rms-sort
Number of clusters: 72

Cluster Statistics:
------------------------------------------------------------
Cluster    Size     Mean RMSD    Std        Min        Max        Rep Line  
------------------------------------------------------------
0          999      1.756505     0.015331   1.730200   1.782700   36088     
1          1220     1.816435     0.019649   1.782900   1.851700   9629      
2          1108     1.960115     0.020996   1.924400   1.996100   5798      
3          1289     1.887630     0.020726   1.852000   1.924200   2145      
4          1348     1.693410     0.022067   1.654800   1.730100   18561     
5          536      1.586813     0.012186   1.565600   1.607900   24846     
6          700      1.631050     0.013310   1.608200   1.654400   7821      
7          590      1.538037     0.016459   1.508400   1.565200   16410     
8          380      1.488471     0.012334   1.466700   1.507900   25742     
9          444      1.435987     0.018315   1.403500   1.466200   593       
10         256      1.375493     0.019694   1.335400   1.402800   19573     
11         173      1.291318     0.027282   1.239400   1.334200   19216     
12         115      1.162213     0.068020   0.982400   1.237200   49870     
13         14       0.832736     0.122167   0.580600   0.952500   48342     
14         1        0.000000     0.000000   0.000000   0.000000   48336     
15         549      2.694192     0.016030   2.668800   2.721600   59706     
16         837      2.634546     0.019789   2.600800   2.668500   103       
17         472      2.392717     0.010736   2.373500   2.411000   12222     
18         766      2.443346     0.018030   2.411200   2.473700   25006     
19         715      2.573368     0.015438   2.546900   2.600300   59094     
20         963      2.510151     0.021001   2.474000   2.546700   16133     
21         1047     2.032069     0.020140   1.996300   2.066100   18503     
22         1167     2.102343     0.021112   2.066400   2.138900   31017     
23         608      2.159926     0.011484   2.139100   2.179200   22220     
24         783      2.203619     0.014099   2.179500   2.228900   45292     
25         908      2.339901     0.018631   2.307200   2.373100   20066     
26         1161     2.267157     0.022916   2.229100   2.307000   1621      
27         363      2.998588     0.014062   2.974600   3.022900   35826     
28         513      3.053865     0.017638   3.023200   3.084700   29540     
29         514      3.112341     0.015236   3.085100   3.137600   41347     
30         725      3.174863     0.020512   3.138300   3.209600   51083     
31         439      2.808802     0.015753   2.782300   2.836400   28247     
32         558      2.750745     0.017315   2.722200   2.782000   54889     
33         488      2.938715     0.019347   2.905800   2.974100   14436     
34         538      2.870146     0.019363   2.837100   2.904500   41853     
35         653      3.404743     0.013800   3.381200   3.429800   28442     
36         1081     3.466270     0.020275   3.430100   3.500300   15703     
37         874      3.250581     0.023116   3.210400   3.288700   26734     
38         473      3.360563     0.011452   3.341200   3.380700   34007     
39         593      3.316547     0.014898   3.289300   3.341000   26735     
40         1095     3.761437     0.011412   3.742000   3.781700   22064     
41         1687     3.708873     0.018965   3.676000   3.741800   57294     
42         1475     3.643111     0.019881   3.607100   3.675900   54526     
43         856      3.584592     0.012933   3.561400   3.606900   51235     
44         995      3.531508     0.017327   3.500700   3.561200   32858     
45         1068     3.956164     0.007975   3.942600   3.970000   51549     
46         1531     3.921936     0.012275   3.900700   3.942500   9216      
47         1708     3.875388     0.014925   3.849900   3.900600   20977     
48         928      3.798340     0.009394   3.781800   3.813900   8849      
49         1128     3.832158     0.010386   3.814000   3.849700   8374      
50         1607     4.108853     0.010265   4.091200   4.126800   4282      
51         2067     4.150823     0.013788   4.127000   4.174600   2849      
52         2183     4.065673     0.015062   4.039600   4.091100   31981     
53         1183     4.025063     0.008170   4.011300   4.039500   20956     
54         1698     3.991193     0.011746   3.970100   4.011200   37480     
55         1154     4.392138     0.010066   4.374900   4.409400   55910     
56         1485     4.353141     0.012272   4.332800   4.374800   9184      
57         1130     4.476180     0.011560   4.456500   4.496500   10600     
58         1450     4.432494     0.013327   4.409500   4.456400   11420     
59         1453     4.191152     0.009366   4.174700   4.207200   24587     
60         1764     4.227858     0.012087   4.207300   4.248400   6857      
61         1380     4.265653     0.009967   4.248500   4.282900   25862     
62         1934     4.307780     0.014385   4.283000   4.332700   10999     
63         120      5.045398     0.029256   5.000300   5.100700   7219      
64         83       5.169201     0.065510   5.106700   5.430900   12791     
65         345      4.931156     0.033926   4.881700   4.998000   4086      
66         693      4.821385     0.030216   4.775500   4.881200   26193     
67         548      4.746033     0.015505   4.720800   4.774700   52129     
68         943      4.685572     0.019195   4.654200   4.720600   10738     
69         1610     4.526194     0.017425   4.496700   4.557900   14679     
70         677      4.632668     0.011841   4.613200   4.653900   61644     
71         1141     4.585032     0.015884   4.558200   4.613000   38296     
